Date,SB,Attendance,Winner,QB  Winner,Coach Winner,Winning Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference,QB_player_jersey_no,Player_city,Player_state,Viewership_Rating,No_of_Tv_viewers
02/11/2024,LVIII,61629,Kansas City Chiefs,Patrick Mahomes,Andy Reid,25,San Francisco 49ers,Jim Kelly,Kyle Shanahan,22,Patrick Mahomes, Allegiant  Stadium,Las Vegas,Nevada,3,#15,Tyler,Texas,42.1,120.3
02/12/2023,LVII,67827,Kansas City Chiefs,Patrick Mahomes,Andy Reid,38,Philadelphia Eagles,Jalen hurts,Nick Sirianni,35,Patrick Mahomes,State Farm Stadium,Glendale,Arizona,3,#15,Tyler,Texas,40.4,114.21
02/13/2022,LVI,70048,Los Angeles Rams,Matthew Stafford,Sean Mcvay,23,Cincinnati Bengals,Joe Burrow,Zac Taylor,20,Cooper kupp,SoFi Stadium,Inglewood,California,3,#9,Tampa,Florida,36.9,99.18
02/07/2021,LV,24835,Tampa Bay Buccaneers,Tom Brady,Bruce Arians,31,Kansas City Chiefs,Patrick Mahomes,Andy Reid,9,Tom Brady,Raymond James Stadium,Tampa,Florida,22,#12,San Mateo,California,38.2,95.21
02/02/2020,LIV,62417,Kansas City Chiefs,Patrick Mahomes,Andy Reid,31,San Francisco 49ers,Jimmy Garoppolo,Kyle Shanahan,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida,11,#15,Tyler,Texas,41.6,101.32
02/03/2019,LIII,70081,New England Patriots,Tom Brady,Bill Belichick,13,Los Angeles Rams,Jared Goff,Sean McVay,3,Julian Edelman,Mercedes-Benz Stadium,Atlanta,Georgia,10,#12,San Mateo,California,41.1,98.48
02/24/2018,LII,67612,Philadelphia Eagles,Nick Foles,Doug Pederson,41,New England Patriots,Tom Brady,Bill Belichick,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota,8,#9,Austin,Texas,43.1,103.47
02/05/2017,LI,70807,New England Patriots,Tom Brady,Bill Belichick,34,Atlanta Falcons,Matt Ryan,Dan Quinn,28,Tom Brady,NRG Stadium,Houston,Texas,6,#12,San Mateo,California,45.3,111.32
02/07/2016,L,71088,Denver Broncos,Peyton Manning,Gary Kubiak,24,Carolina Panthers,Cam Newton,Ron Rivera,10,Von Miller,Levi's Stadium,Santa Clara,California,14,#18,New Orleans,"Louisiana
",46.6,111.86
02/01/2015,XLIX,70288,New England Patriots,Tom Brady,Bill Belichick,28,Seattle Seahawks,Russell Wilson,Pete Carroll,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona,4,#12,San Mateo, California,47.5,114.44
02/02/2014,XLVIII,82529,Seattle Seahawks,Russell Wilson,Pete Carroll,43,Denver Broncos,Peyton Manning,John Fox,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey,35,#3,Cincinnati,Ohio,46.7,112.19
02/03/2013,XLVII,71024,Baltimore Ravens,Joe Flacco,John Harbaugh,34,San Francisco 49ers,Colin Kaepernick,Jim Harbaugh,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana,3,#5,Audubon,New Jersey,46.4,108.69
02/05/2012,XLVI,68658,New York Giants,Eli Manning,Tom Coughlin,21,New England Patriots,Tom Brady,Bill Belichick,17,Eli Manning,Lucas Oil Stadium,Indianapolis,Indiana,4,#10,New Orleans,"Louisiana
",47.0,111.35
02/07/2010,XLV,103219,Green Bay Packers,Aaron Rodgers,Mike McCarthy,31,Pittsburgh Steelers,Ben Roethlisberger,Mike Tomlin,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,6,#9,Chico,California,46.0,111.01
