Date,SB,Attendance,Winner,QB  Winner,Coach Winner,Winning Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference
1981-01-25,XV,76135,Oakland Raiders,Jim Plunkett,Tom Flores,27,Philadelphia Eagles,Ron Jaworski,Dick Vermeil,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17
2003-01-26,XXXVII,67603,Tampa Bay Buccaneers,Brad Johnson,Jon Gruden,48,Oakland Raiders,Rich Gannon,Bill Callahan,21,Dexter Jackson,Qualcomm Stadium,San Diego,California,27
2015-02-01,XLIX,70288,New England Patriots,Tom Brady,Bill Belichick,28,Seattle Seahawks,Russell Wilson,Pete Carroll,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona,4
1991-01-27,XXV,73813,New York Giants,Jeff Hostetler,Bill Parcells,20,Buffalo Bills,Jim Kelly,Marv Levy,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1
2000-01-30,XXXIV,72625,St. Louis Rams,Kurt Warner,Dick Vermeil,23,Tennessee Titans,Steve McNair,Jeff Fisher,16,Kurt Warner,Georgia Dome,Atlanta,Georgia,7
1984-01-22,XVIII,72920,Los Angeles Raiders,Jim Plunkett,Tom Flores,38,Washington Redskins,Joe Theismann,Joe Gibbs,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29
2010-02-07,XLIV,74059,New Orleans Saints,Drew Brees,Sean Payton,31,Indianapolis Colts,Peyton Manning,Jim Caldwell,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida,14
1968-01-14,II,75546,Green Bay Packers,Bart Starr,Vince Lombardi,33,Oakland Raiders,Daryle Lamonica,John Rauch,14,Bart Starr,Orange Bowl,Miami,Florida,19
1978-01-15,XII,76400,Dallas Cowboys,Roger Staubach,Tom Landry,27,Denver Broncos,Craig Morton,Red Miller,10,"Harvey Martin, Randy White",Superdome,New Orleans,Louisiana,17
1969-01-12,III,75389,New York Jets,Joe Namath,Weeb Ewbank,16,Baltimore Colts,"Earl Morrall, Johnny Unitas",Don Shula,7,Joe Namath,Orange Bowl,Miami,Florida,9
1974-01-13,VIII,71882,Miami Dolphins,Bob Griese,Don Shula,24,Minnesota Vikings,Fran Tarkenton,Bud Grant,7,Larry Csonka,Rice Stadium,Houston,Texas,17
